header,class,group,gene,mechanism
JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM,beta-lactam,VIM,VIM-30,NA
gi:693049914:ref:WP_032219324.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:487972521:ref:WP_002045418.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:695808225:ref:WP_032722230.1:|FEATURES|aadK|aminoglycoside|aadK,aminoglycoside,aadK,aadK,NA
NC_010558.1.6275977.p01|FEATURES|tetC|tetracycline|tetC,tetracycline,tetC,tetC,NA
gi:730560767:ref:WP_034048018.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
CP000034.1.gene457.p01|FEATURES|acrB|multidrug|acrB,multidrug,acrB,acrB,NA
gi:649725729:gb:AIC64387.1:|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
gi:738519293:ref:WP_036467771.1:|FEATURES|emrE|multidrug|emrE,multidrug,emrE,emrE,NA
gi:585361853:ref:WP_024243445.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:838699257:gb:KLW82782.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
AF294653.1.gene2.p01|FEATURES|OXA-4|beta-lactam|OXA,beta-lactam,OXA,OXA-4,NA
gi:973247073:ref:WP_059108098.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
AAK69027|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
gi:686335175:ref:WP_031881860.1:|FEATURES|msrA|MLS|msrA,MLS,msrA,msrA,NA
ZP_03233797|FEATURES|vanS|glycopeptide|vanS,glycopeptide,vanS,vanS,NA
gi:85840350:gb:EAQ57607.1:|FEATURES|cmeB|multidrug|cmeB,multidrug,cmeB,cmeB,NA
AY136758.1.gene3.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I,aminoglycoside,aac(6')-I,aac(6')-I,NA
AAP97129|FEATURES|class_B|beta-lactam|class_B,beta-lactam,class_B,class_B,NA
gi:553764960:ref:WP_023097281.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:496592990:ref:WP_009288847.1:|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
gi:491252621:ref:WP_005110805.1:|FEATURES|erm(41)|MLS|erm(41),MLS,erm(41),erm(41),NA
gi:487411471:ref:WP_001679154.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:758887196:ref:WP_043044983.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:895865878:ref:WP_048974758.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:852031615:ref:WP_048261079.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:846206765:ref:WP_047956979.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:485832354:ref:WP_001445395.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
EF118171.1.gene4.p01|FEATURES|IMP-19|beta-lactam|IMP,beta-lactam,IMP,IMP-19,NA
gi:1028110996:ref:WP_063865208.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase,beta-lactam,metallo-beta-lactamase,metallo-beta-lactamase,NA
gi:649725753:gb:AIC64399.1:|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
gi:7715978:gb:AAF68230.1:AF203972_3|FEATURES|ermF|MLS|ermF,MLS,ermF,ermF,NA
AF371964.1.gene1.p1|FEATURES|OXA-118|beta-lactam|OXA,beta-lactam,OXA,OXA-118,NA
YP_002740275|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:692979871:ref:WP_032170064.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
AJ309734.2.gene1.p01|FEATURES|OXA-51|beta-lactam|OXA,beta-lactam,OXA,OXA-51,NA
gi:764452215:ref:WP_044372543.1:|FEATURES|mdtN|multidrug|mdtN,multidrug,mdtN,mdtN,NA
gi:928860795:ref:WP_053903606.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:983476950:ref:WP_060634550.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
NP_462120|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
gi:1031643906:gb:ANG18904.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:884886675:emb:CKI42916.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:446657929:ref:WP_000735275.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
YP_002114946|FEATURES|penA|beta-lactam|penA,beta-lactam,penA,penA,NA
EF373973.1.gene1.p01|FEATURES|SHV-97|beta-lactam|SHV,beta-lactam,SHV,SHV-97,NA
gi:943909899:ref:WP_055545300.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
ACB18310|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
AY004350.gene.p01|FEATURES|msrC|MLS|msrC,MLS,msrC,msrC,NA
gi:749036341:ref:WP_040083042.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:738462527:ref:WP_036413340.1:|FEATURES|tetC|tetracycline|tetC,tetracycline,tetC,tetC,NA
gi:751908677:ref:WP_041124075.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
gi:487376515:ref:WP_001649600.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:916178436:ref:WP_050963182.1:|FEATURES|mecA|beta-lactam|mecA,beta-lactam,mecA,mecA,NA
CAG34251|FEATURES|smeF|multidrug|smeF,multidrug,smeF,smeF,NA
HQ166709.1.gene1.p01|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
gi:803568669:ref:WP_046077412.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:486414050:ref:WP_001611044.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:555230110:ref:WP_023217569.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:445996724:ref:WP_000074579.1:|FEATURES|bcrA|bacitracin|bcrA,bacitracin,bcrA,bcrA,NA
gi:446164906:ref:WP_000242761.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein,unclassified,cAMP-regulatory_protein,cAMP-regulatory_protein,NA
YP_002850217|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:556252490:ref:WP_023286877.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:727252882:ref:WP_033712221.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
CAA90431|FEATURES|fusH|fusidic-acid|fusH,fusidic-acid,fusH,fusH,NA
gi:851915138:ref:WP_048216502.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:727749040:ref:WP_033861720.1:|FEATURES|msrA|MLS|msrA,MLS,msrA,msrA,NA
gi:296278285:pdb:2WGV:A|FEATURES|OXA-10|beta-lactam|OXA,beta-lactam,OXA,OXA-10,NA
gi:485794465:ref:WP_001416013.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:950649923:ref:WP_057487005.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
gi:857586087:emb:CRL63209.1:|FEATURES|mdtC|multidrug|mdtC,multidrug,mdtC,mdtC,NA
gi:685890627:ref:WP_031631929.1:|FEATURES|mexD|multidrug|mexD,multidrug,mexD,mexD,NA
ZP_02696486|FEATURES|penA|beta-lactam|penA,beta-lactam,penA,penA,NA
gi:639494054:ref:WP_024665043.1:|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
gi:723059650:ref:WP_033554081.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:764403576:ref:WP_044352039.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
gi:693097066:ref:WP_032253419.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:693104039:ref:WP_032258261.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:446964014:ref:WP_001041270.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:545160133:ref:WP_021515043.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:446533200:ref:WP_000610546.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:835846408:ref:WP_047681013.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:446834439:ref:WP_000911695.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
AJ584701.2.gene1.p01|FEATURES|aac(6')-II|aminoglycoside|aac(6')-II,aminoglycoside,aac(6')-II,aac(6')-II,NA
gi:445996695:ref:WP_000074550.1:|FEATURES|bcrA|bacitracin|bcrA,bacitracin,bcrA,bcrA,NA
gi:924337096:ref:WP_053474708.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
YP_002349827|FEATURES|fosX|fosfomycin|fosX,fosfomycin,fosX,fosX,NA
gi:959851591:ref:WP_058135505.1:|FEATURES|mexE|multidrug|mexE,multidrug,mexE,mexE,NA
gi:740518571:ref:WP_038347056.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
YP_001816601|FEATURES|dfrA17|diaminopyrimidine|dfrA17,diaminopyrimidine,dfrA17,dfrA17,NA
gi:686303374:ref:WP_031867231.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
AB205197.1.gene1.p01|FEATURES|CTX-M-63|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-63,NA
gi:556463948:ref:WP_023315739.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:499261455:ref:WP_010958995.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
A7ZZ23|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:555257124:ref:WP_023239878.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:1041907918:ref:WP_065242246.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:507086196:ref:WP_016156937.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:1031632947:gb:ANG13589.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:493954677:ref:WP_006898419.1:|FEATURES|acrB|multidrug|acrB,multidrug,acrB,acrB,NA
gi:486319159:ref:WP_001581318.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
YP_002201843|FEATURES|ermE|MLS|ermE,MLS,ermE,ermE,NA
gi:654547531:ref:WP_028015237.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:1028200713:ref:WP_063944593.1:|FEATURES|fosA|fosfomycin|fosA,fosfomycin,fosA,fosA,NA
gi:516364340:ref:WP_017754373.1:|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
CAO91620|FEATURES|PBP-2X|beta-lactam|PBP-2X,beta-lactam,PBP-2X,PBP-2X,NA
gi:446573710:ref:WP_000651056.1:|FEATURES|mepA|multidrug|mepA,multidrug,mepA,mepA,NA
gi:488883031:ref:WP_002795256.1:|FEATURES|cmeA|multidrug|cmeA,multidrug,cmeA,cmeA,NA
gi:926287601:ref:WP_053624488.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase,aminoglycoside,viomycin_phosphotransferase,viomycin_phosphotransferase,NA
gi:486045074:ref:WP_001506351.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
ZP_03049119|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:836580371:ref:WP_047737758.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
KC433553.1.gene1.p1|FEATURES|KPC-15|beta-lactam|KPC,beta-lactam,KPC,KPC-15,NA
gi:32345882:gb:AAM97235.1:|FEATURES|penA|beta-lactam|penA,beta-lactam,penA,penA,NA
YP_002400010|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:446110299:ref:WP_000188154.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
KF513177.1.gene1.p1|FEATURES|SHV-172|beta-lactam|SHV,beta-lactam,SHV,SHV-172,NA
ZP_04632979|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
YP_002382998|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:553752495:ref:WP_023085298.1:|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
gi:754685479:ref:WP_042064475.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:488085074:ref:WP_002156471.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:556472831:ref:WP_023324446.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:664192077:ref:WP_030725808.1:|FEATURES|viomycin_phosphotransferase|aminoglycoside|viomycin_phosphotransferase,aminoglycoside,viomycin_phosphotransferase,viomycin_phosphotransferase,NA
gi:507083067:ref:WP_016153816.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:1016275448:gb:AMX06027.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
K00544.gene.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase,phenicol,cat_chloramphenicol_acetyltransferase,cat_chloramphenicol_acetyltransferase,NA
gi:489127514:ref:WP_003037306.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:780342622:ref:WP_045564043.1:|FEATURES|mexE|multidrug|mexE,multidrug,mexE,mexE,NA
gi:490802824:ref:WP_004664957.1:|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
gi:935473942:ref:WP_054410836.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:740371361:ref:WP_038206713.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:895877432:ref:WP_048983389.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:486326725:ref:WP_001583395.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:391266580:gb:EIQ25529.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:727023243:ref:WP_033594420.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
AM051159.1.gene1.p01|FEATURES|OKP-B|beta-lactam|OKP-B,beta-lactam,OKP-B,OKP-B,NA
YP_002044935|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:749035552:ref:WP_040082373.1:|FEATURES|aadK|aminoglycoside|aadK,aminoglycoside,aadK,aadK,NA
gi:896027385:ref:WP_049087312.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:895898289:ref:WP_048999360.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:335574535:gb:EGM60853.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:686127900:ref:WP_031771561.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:765410328:ref:WP_044688844.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:487631273:ref:WP_001739619.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
AY034138.1.gene10.p01|FEATURES|floR|phenicol|floR,phenicol,floR,floR,NA
gi:495004199:ref:WP_007730213.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
ZP_03002705|FEATURES|mdtN|multidrug|mdtN,multidrug,mdtN,mdtN,NA
gi:1045340321:ref:WP_065458907.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:555266741:ref:WP_023248213.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
AJ011293.1.gene1.p01|FEATURES|CMY-6|beta-lactam|CMX,beta-lactam,CMX,CMY-6,NA
BAH63712|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
ZP_04232797|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
CAH94334|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
gi:1016547979:ref:WP_063116960.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
JF460796.1.gene1.p01|FEATURES|CMY-62|beta-lactam|CMX,beta-lactam,CMX,CMY-62,NA
gi:1045802754:ref:WP_065518573.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:742920130:ref:WP_039023388.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
ZP_01834487|FEATURES|PBP-2X|beta-lactam|PBP-2X,beta-lactam,PBP-2X,PBP-2X,NA
gi:896546820:ref:WP_049448076.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase,beta-lactam,metallo-beta-lactamase,metallo-beta-lactamase,NA
AY847143.1.gene1.p01|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
gi:695797751:ref:WP_032711942.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:694088163:ref:WP_032432902.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:974672242:ref:WP_059256507.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
O35018|FEATURES|lmrB|MLS|lmrB,MLS,lmrB,lmrB,NA
gi:981222342:ref:WP_059443655.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
AF467947.1.gene1.p1|FEATURES|SHV-36|beta-lactam|SHV,beta-lactam,SHV,SHV-36,NA
DQ195536.2.orf0.gene.p01|FEATURES|oleD|MLS|oleD,MLS,oleD,oleD,NA
gi:488311349:ref:WP_002380734.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
AAX19284|FEATURES|vanA|glycopeptide|vanA,glycopeptide,vanA,vanA,NA
gi:754697027:ref:WP_042073841.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:496666180:ref:WP_009308670.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:851936789:ref:WP_048225242.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:447201651:ref:WP_001278907.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase,unclassified,cob(I)alamin_adenolsyltransferase,cob(I)alamin_adenolsyltransferase,NA
gi:151567620:pdb:2HP5:A|FEATURES|OXA-10|beta-lactam|OXA,beta-lactam,OXA,OXA-10,NA
YP_089932|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
YP_688010|FEATURES|acrA|multidrug|acrA,multidrug,acrA,acrA,NA
gi:902507037:ref:WP_049597664.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:738121094:ref:WP_036079133.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
gi:446900661:ref:WP_000977917.1:|FEATURES|ompF|multidrug|ompF,multidrug,ompF,ompF,NA
NC_010400.5984123.p01|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
ACH85850|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
gi:651591740:ref:WP_026586713.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:502961756:ref:WP_013196732.1:|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
CP004022.1.gene294.p01|FEATURES|acrA|multidrug|acrA,multidrug,acrA,acrA,NA
gi:501177790:ref:WP_012221074.1:|FEATURES|dfrA12|diaminopyrimidine|dfrA12,diaminopyrimidine,dfrA12,dfrA12,NA
gi:742936434:ref:WP_039025717.1:|FEATURES|ompF|multidrug|ompF,multidrug,ompF,ompF,NA
gi:447097691:ref:WP_001174947.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
ABN80187|FEATURES|tetW|tetracycline|tetW,tetracycline,tetW,tetW,NA
AAY68306|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
NC_007793.3913346.p01|FEATURES|EmrB-QacA_family_major_facilitator_transporter|multidrug|EmrB-QacA_family_major_facilitator_transporter,multidrug,EmrB-QacA_family_major_facilitator_transporter,EmrB-QacA_family_major_facilitator_transporter,NA
FJ405211.1.gene1.p01|FEATURES|TEM-57|beta-lactam|TEM,beta-lactam,TEM,TEM-57,NA
gi:851981722:ref:WP_048240990.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:693264691:ref:WP_032363351.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:487499618:ref:WP_001704083.1:|FEATURES|mdtM|multidrug|mdtM,multidrug,mdtM,mdtM,NA
gi:518287882:ref:WP_019458090.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:896193254:ref:WP_049201909.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
YP_002890644|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
AF337947.1.gene1.p01|FEATURES|aph(2'')-II|aminoglycoside|aph(2'')-II,aminoglycoside,aph(2'')-II,aph(2'')-II,NA
gi:693033640:ref:WP_032208687.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:763190161:ref:WP_044067345.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
ABW06431|FEATURES|dfrA16|diaminopyrimidine|dfrA16,diaminopyrimidine,dfrA16,dfrA16,NA
gi:779861244:ref:WP_045352062.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:895981299:ref:WP_049056431.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:823309641:ref:WP_047064289.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:488055598:ref:WP_002126995.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:514966815:ref:WP_016655114.1:|FEATURES|ompR|multidrug|ompR,multidrug,ompR,ompR,NA
gi:498115001:ref:WP_010429157.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
YP_001455919|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:402508243:gb:EJW18764.1:|FEATURES|vanS|glycopeptide|vanS,glycopeptide,vanS,vanS,NA
gi:447055200:ref:WP_001132456.1:|FEATURES|acrB|multidrug|acrB,multidrug,acrB,acrB,NA
gi:1031646597:gb:ANG20228.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:693139194:ref:WP_032280948.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:822516809:ref:WP_046947358.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:896002933:ref:WP_049068984.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:872435509:ref:WP_048519024.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:510925315:ref:WP_016246058.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
AY289608.1.gene3.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I,aminoglycoside,aac(6')-I,aac(6')-I,NA
gi:486204885:ref:WP_001551802.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:1045851695:ref:WP_065538049.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:499249594:ref:WP_010947134.1:|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
gi:488130770:ref:WP_002201978.1:|FEATURES|bcrA|bacitracin|bcrA,bacitracin,bcrA,bcrA,NA
HM066995.1.gene1.p01|FEATURES|KPC-11|beta-lactam|KPC,beta-lactam,KPC,KPC-11,NA
AB777500.1.gene4.p01|FEATURES|IMP-43|beta-lactam|IMP,beta-lactam,IMP,IMP-43,NA
DQ463751.1.gene1.p01|FEATURES|CMY-23|beta-lactam|CMX,beta-lactam,CMX,CMY-23,NA
gi:1022656032:ref:WP_063413405.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:808045374:ref:WP_046207364.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
ZP_04084549|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:1028890997:ref:WP_064056009.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:510925114:ref:WP_016245857.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:950823930:ref:WP_057521930.1:|FEATURES|mecR1|beta-lactam|mecR1,beta-lactam,mecR1,mecR1,NA
gi:693154792:ref:WP_032291441.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:754653841:ref:WP_042037504.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:488975359:ref:WP_002886249.1:|FEATURES|cmeB|multidrug|cmeB,multidrug,cmeB,cmeB,NA
gi:1031629082:gb:ANG11777.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
ZP_01172287|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
CAH58703|FEATURES|aac(3)-VIII|aminoglycoside|aac(3)-VIII,aminoglycoside,aac(3)-VIII,aac(3)-VIII,NA
gi:835503090:ref:WP_047529730.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:553756495:ref:WP_023089177.1:|FEATURES|oprN|multidrug|oprN,multidrug,oprN,oprN,NA
gi:556279993:ref:WP_023289120.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:410389402:gb:EKP41816.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:745768893:ref:WP_039065184.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
CAB96926|FEATURES|mphC|MLS|mphC,MLS,mphC,mphC,NA
gi:485892789:ref:WP_001484727.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
ACB17400|FEATURES|mdfA|multidrug|mdfA,multidrug,mdfA,mdfA,NA
gi:693073900:ref:WP_032237193.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
AAN34370|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II,aminoglycoside,aac(3)-II,aac(3)-II,NA
