header	amino_acid_length	nucleotide_length
K1JGL2|FEATURES|UNIPROT_deepARG|beta_lactam|HMPREF1171_04302|antibiotic_inactivation|1	253	759
I2Q1R4|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	265	795
B5Y9K7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	263	789
I0QNP0|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A0D0JDN2|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	264	792
A9VGR9|FEATURES|UNIPROT_deepARG|beta_lactam|BcerKBAB4_2421|antibiotic_inactivation|1	310	930
ZP_03283366|FEATURES|ARDB_deepARG|multidrug|Bcr|antibiotic_efflux|0	398	1194
A0A0I9QQ17|FEATURES|UNIPROT_deepARG|beta_lactam|CARB-18|antibiotic_inactivation|1	283	849
A0A085ZKE7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	265	795
A0A147GD00|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
CAA06639|FEATURES|ARDB_deepARG|beta_lactam|ACT-20|antibiotic_inactivation|1	381	1143
A0A024KYU3|FEATURES|UNIPROT_deepARG|polymyxin|arnA|antibiotic_target_alteration|0	660	1980
A0A088MYT3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	269	807
A0A0B2F3R7|FEATURES|UNIPROT_deepARG|aminoglycoside|QW71_31235|antibiotic_inactivation|0	255	765
D2K8A5|FEATURES|UNIPROT_deepARG|beta_lactam|blaCARB-2|antibiotic_inactivation|1	304	912
A0A0B1YFE9|FEATURES|UNIPROT_deepARG|fosfomycin|fosB|antibiotic_inactivation|0	141	423
A0A0C1RT85|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	268	804
A0A140RDI1|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	648	1944
K0WEQ2|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	651	1953
C8CE55|FEATURES|UNIPROT_deepARG|beta_lactam|BL2b_tem1|antibiotic_inactivation|1	218	654
F8XIJ5|FEATURES|UNIPROT_deepARG|aminoglycoside|HMPREF9349_04665|antibiotic_inactivation|1	284	852
K0MBW5|FEATURES|UNIPROT_deepARG|bacitracin|bacA|antibiotic_target_alteration|0	287	861
A0A109FSS9|FEATURES|UNIPROT_deepARG|fosfomycin|fosB|antibiotic_inactivation|1	138	414
A0A0P7JEQ5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A076NGZ5|FEATURES|UNIPROT_deepARG|aminoglycoside|CIMIT_00695|antibiotic_inactivation|1	252	756
J2YH09|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
ACQ53948|FEATURES|ARDB_deepARG|bacitracin|BacA|antibiotic_target_alteration|0	284	852
A0A0H2QEA2|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	330	990
E6LNW9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	277	831
A0A139SSD1|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	347	1041
CAL44990|FEATURES|ARDB_deepARG|macrolide-lincosamide-streptogramin|linA|antibiotic_inactivation|1	161	483
A0A077L029|FEATURES|UNIPROT_deepARG|aminoglycoside|AS4_23160|antibiotic_inactivation|1	259	777
A0A086PA23|FEATURES|UNIPROT_deepARG|bacitracin|uppP_2|antibiotic_target_alteration|0	269	807
G2S781|FEATURES|UNIPROT_deepARG|chloramphenicol|Entas_2396|antibiotic_inactivation|1	225	675
A0A0P9AEC2|FEATURES|UNIPROT_deepARG|beta_lactam|APR47_42920|antibiotic_inactivation|1	295	885
I3WA59|FEATURES|UNIPROT_deepARG|aminoglycoside|aadA1|antibiotic_inactivation|1	263	789
A0A0B8P936|FEATURES|UNIPROT_deepARG|beta_lactam|JCM19231_3832|antibiotic_inactivation|1	316	948
D1LFF3|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|0	142	426
A0A068DCZ2|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	268	804
AAB00446|FEATURES|ARDB_deepARG|aminoglycoside|APH(6)-Ic|antibiotic_inactivation|1	264	792
E2PAV6|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	640	1920
W7CN54|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	272	816
A0A0K0X6V9|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|vgb|antibiotic_inactivation|0	282	846
YP_788913|FEATURES|ARDB_deepARG|multidrug|mexh|antibiotic_efflux|0	370	1110
A0A060KZZ1|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|1	291	873
B1FFV2|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A0M1NFD7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A0E3YQ31|FEATURES|UNIPROT_deepARG|aminoglycoside|XB05_09780|antibiotic_inactivation|0	151	453
X6QGC1|FEATURES|UNIPROT_deepARG|beta_lactam|HMPREF1562_2717|antibiotic_inactivation|1	380	1140
P58777|FEATURES|ARDB_deepARG|chloramphenicol|catI|antibiotic_inactivation|1	219	657
A0A0U0C113|FEATURES|UNIPROT_deepARG|beta_lactam|penP|antibiotic_inactivation|1	304	912
A0A0J7D6Z2|FEATURES|UNIPROT_deepARG|beta_lactam|TU62_16300|antibiotic_inactivation|1	308	924
A0A059L870|FEATURES|UNIPROT_deepARG|polymyxin|arnA|antibiotic_target_alteration|0	663	1989
A0A126G806|FEATURES|UNIPROT_deepARG|beta_lactam|blaVEB|antibiotic_inactivation|1	298	894
A0A0F5F8M2|FEATURES|UNIPROT_deepARG|beta_lactam|TN98_10925|antibiotic_inactivation|1	384	1152
A0A0H3NS18|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	327	981
A0A0H0SN12|FEATURES|UNIPROT_deepARG|beta_lactam|AA984_14190|antibiotic_inactivation|1	304	912
YP_001453760|FEATURES|ARDB_deepARG|macrolide-lincosamide-streptogramin|MacB|antibiotic_efflux|0	648	1944
A0A098T989|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	267	801
A0A060KTW2|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|1	291	873
A0A081RZF6|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	328	984
W3Z1G8|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	271	813
A7ZW03|FEATURES|ARDB_deepARG|kasugamycin|KsgA|antibiotic_target_alteration|0	273	819
G2RTX6|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	274	822
A0A0N7AKM4|FEATURES|UNIPROT_deepARG|beta_lactam|blaCphA|antibiotic_inactivation|1	210	630
K9DXJ0|FEATURES|UNIPROT_deepARG|aminoglycoside|HMPREF9710_02755|antibiotic_inactivation|1	268	804
H6SKH2|FEATURES|UNIPROT_deepARG|bacitracin|bacA|antibiotic_target_alteration|0	270	810
A0A0W0TL65|FEATURES|UNIPROT_deepARG|aminoglycoside|ant1|antibiotic_inactivation|0	287	861
E3G2W0|FEATURES|UNIPROT_deepARG|beta_lactam|Entcl_2980|antibiotic_inactivation|1	394	1182
V9QY24|FEATURES|UNIPROT_deepARG|beta_lactam|ampC|antibiotic_inactivation|1	384	1152
A0A0E3ZIR1|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	281	843
YP_002396538|FEATURES|ARDB_deepARG|multidrug|acrA|antibiotic_efflux|0	397	1191
A0A0M3BXB9|FEATURES|UNIPROT_deepARG|beta_lactam|YA64_09330|antibiotic_inactivation|1	383	1149
YP_001579800|FEATURES|ARDB_deepARG|multidrug|AmrB|antibiotic_efflux|0	1045	3135
A0A132PF12|FEATURES|UNIPROT_deepARG|beta_lactam|ampC|antibiotic_inactivation|1	388	1164
D2D0D5|FEATURES|UNIPROT_deepARG|beta_lactam|blaTER-2|antibiotic_inactivation|1	284	852
A0A0G4Q0T4|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	478	1434
AAD42184|FEATURES|ARDB_deepARG|glycopeptide|VanD|antibiotic_target_alteration|1	343	1029
J2TZP8|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A0D8LPG6|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	327	981
G7Q5X4|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	265	795
BAG80629|FEATURES|ARDB_deepARG|tetracycline|tetM|antibiotic_target_protection|1	639	1917
CAG30572|FEATURES|ARDB_deepARG|macrolide-lincosamide-streptogramin|mefA|antibiotic_efflux|1	405	1215
A0A0N0FBV5|FEATURES|UNIPROT_deepARG|polymyxin|arnA|antibiotic_target_alteration|0	663	1989
A0A0Q8QID7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	265	795
A0A0A2UNC1|FEATURES|UNIPROT_deepARG|fosfomycin|fosB|antibiotic_inactivation|0	140	420
I3CYN0|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	284	852
R6Q303|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A0M2CJX5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A085GAK8|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	326	978
YP_717427|FEATURES|ARDB_deepARG|rifampin|rif|antibiotic_inactivation|0	551	1653
B7H4R5|FEATURES|UNIPROT_deepARG|bacitracin|bacA1|antibiotic_target_alteration|0	265	795
F8UU02|FEATURES|UNIPROT_deepARG|beta_lactam|BL1_cmy2|antibiotic_inactivation|1	386	1158
A0A090Y3M9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
B4W7R2|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	266	798
A0A0J9FPB8|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	284	852
N9HXN3|FEATURES|UNIPROT_deepARG|beta_lactam|F918_01058|antibiotic_inactivation|1	383	1149
A0A0M2YG80|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	272	816
YP_001974111|FEATURES|ARDB_deepARG|multidrug|smeC|antibiotic_efflux|0	471	1413
I4K6I3|FEATURES|UNIPROT_deepARG|bacitracin|uppP_2|antibiotic_target_alteration|0	276	828
YP_001461101|FEATURES|ARDB_deepARG|multidrug|MdtM|antibiotic_efflux|0	410	1230
A0A0J1KHY4|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	327	981
A0A143I1B6|FEATURES|UNIPROT_deepARG|polymyxin|yfbF|antibiotic_target_alteration|0	332	996
A0A0N0VLX6|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	268	804
A0A0F4VWV4|FEATURES|UNIPROT_deepARG|chloramphenicol|ClosIBUN13A_CONTIG66g00733|antibiotic_inactivation|0	215	645
A0A0Q7S9Y7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	268	804
AAM77080|FEATURES|ARDB_deepARG|trimethoprim|dfrA1|antibiotic_target_replacement|1	152	456
A0A127SC97|FEATURES|UNIPROT_deepARG|beta_lactam|OCH-8|antibiotic_inactivation|1	368	1104
YP_001882916|FEATURES|ARDB_deepARG|multidrug|MdtM|antibiotic_efflux|0	410	1230
YP_001346278|FEATURES|ARDB_deepARG|multidrug|mexH|antibiotic_efflux|0	370	1110
AAL51021.1|FEATURES|ARDB_deepARG|aminoglycoside|ANT(3'')-Ii-AAC(6')-IId|antibiotic_inactivation|1	463	1389
A0A0U1HQI1|FEATURES|UNIPROT_deepARG|beta_lactam|ampC|antibiotic_inactivation|1	388	1164
A0A098FJ97|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|vgb|antibiotic_inactivation|0	295	885
A0A060KZ70|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|1	291	873
A0A0N0HZC9|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|vgb|antibiotic_inactivation|0	299	897
G2S3I9|FEATURES|UNIPROT_deepARG|polymyxin|arnA|antibiotic_target_alteration|0	660	1980
T0PID4|FEATURES|UNIPROT_deepARG|beta_lactam|K931_20132|antibiotic_inactivation|1	253	759
YP_002852100|FEATURES|ARDB_deepARG|bacitracin|BacA|antibiotic_target_alteration|0	296	888
ZP_02901198|FEATURES|ARDB_deepARG|multidrug|mdtE|antibiotic_efflux|0	385	1155
A0A0N0K2G9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	268	804
A0A0U1YWR9|FEATURES|UNIPROT_deepARG|beta_lactam|blaOXA-48-like|antibiotic_inactivation|1	248	744
V1DKE9|FEATURES|UNIPROT_deepARG|beta_lactam|SHD_1818|antibiotic_inactivation|1	265	795
F3MH92|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	280	840
V0SDC7|FEATURES|UNIPROT_deepARG|beta_lactam|HMPREF1595_03072|antibiotic_inactivation|1	388	1164
A0A0A3IEW6|FEATURES|UNIPROT_deepARG|fosfomycin|fosB|antibiotic_inactivation|0	141	423
A0A022PEY0|FEATURES|UNIPROT_deepARG|beta_lactam|BA1DRAFT_04049|antibiotic_inactivation|1	385	1155
B2PUM5|FEATURES|UNIPROT_deepARG|beta_lactam|PROSTU_00250|antibiotic_inactivation|1	384	1152
D1LFJ3|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|0	142	426
B2CD75|FEATURES|UNIPROT_deepARG|beta_lactam|blaSHV|antibiotic_inactivation|0	118	354
M9UY78|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX|antibiotic_inactivation|1	223	669
Q2FC44|FEATURES|UNIPROT_deepARG|beta_lactam|blaZ|antibiotic_inactivation|1	268	804
A0A0B5P923|FEATURES|UNIPROT_deepARG|bacitracin|uppP1|antibiotic_target_alteration|0	265	795
A0A089LBH9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
J7II96|FEATURES|UNIPROT_deepARG|beta_lactam|BL2be_ctxm|antibiotic_inactivation|1	291	873
A0A0E1S996|FEATURES|UNIPROT_deepARG|aminoglycoside|BURPS305_3406|antibiotic_inactivation|0	157	471
H8GKI9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
CAA76542|FEATURES|ARDB_deepARG|qa_compound|Qac|antibiotic_efflux|1	107	321
A0A140J4L2|FEATURES|UNIPROT_deepARG|beta_lactam|AXF37_08125|antibiotic_inactivation|1	266	798
A0A0Q7P0I5|FEATURES|UNIPROT_deepARG|aminoglycoside|ASD46_12665|antibiotic_inactivation|0	151	453
A0A060KZ93|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|1	291	873
A0A127L2J1|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	648	1944
Q83Z49|FEATURES|UNIPROT_deepARG|aminoglycoside|aadA2|antibiotic_inactivation|1	263	789
A0A0R5RPN8|FEATURES|UNIPROT_deepARG|chloramphenicol|cat|antibiotic_inactivation|0	185	555
A0A0V8SJC6|FEATURES|UNIPROT_deepARG|chloramphenicol|ATM99_15730|antibiotic_inactivation|0	217	651
C5AQS5|FEATURES|UNIPROT_deepARG|bacitracin|bacA|antibiotic_target_alteration|0	283	849
A0A0Q4L212|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	264	792
D7AWL2|FEATURES|UNIPROT_deepARG|beta_lactam|Ndas_2388|antibiotic_inactivation|1	305	915
CAW29378|FEATURES|ARDB_deepARG|chloramphenicol|catB7|antibiotic_inactivation|1	206	618
A0A0H4IRB8|FEATURES|UNIPROT_deepARG|beta_lactam|blaCMY-125|antibiotic_inactivation|1	381	1143
A0A060KTL3|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|1	291	873
I4E7J8|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	644	1932
YP_001605795|FEATURES|ARDB_deepARG|polymyxin|RosB|antibiotic_efflux|0	562	1686
A0A0M8Y1A5|FEATURES|UNIPROT_deepARG|chloramphenicol|ADL06_32520|antibiotic_inactivation|1	222	666
CAR61098|FEATURES|ARDB_deepARG|multidrug|TolC|antibiotic_efflux|0	491	1473
A0A127SAJ7|FEATURES|UNIPROT_deepARG|beta_lactam|CblA-1|antibiotic_inactivation|1	304	912
ZP_02685589|FEATURES|ARDB_deepARG|multidrug|MdfA|antibiotic_efflux|0	410	1230
A0A0M1RAS9|FEATURES|UNIPROT_deepARG|polymyxin|arnA|antibiotic_target_alteration|0	660	1980
A0A0T6VPJ4|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A0J6G7K0|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A085P7T7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	273	819
YP_002415221|FEATURES|ARDB_deepARG|multidrug|MdtP|antibiotic_efflux|0	488	1464
V2V7W8|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	266	798
ACB17731|FEATURES|ARDB_deepARG|multidrug|acrA|antibiotic_efflux|0	409	1227
BAD95814|FEATURES|ARDB_deepARG|aminoglycoside|APH(3')-Va|antibiotic_inactivation|1	268	804
A0A127SPU7|FEATURES|UNIPROT_deepARG|beta_lactam|CblA-1|antibiotic_inactivation|1	304	912
A0A101DGA9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	267	801
A0A0U5JTX5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	280	840
YP_001527590|FEATURES|ARDB_deepARG|bacitracin|BacA|antibiotic_target_alteration|0	295	885
A0A109W5N8|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	264	792
A0A0N0K8T3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	270	810
W0HLB2|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	326	978
A0A0J7FUI5|FEATURES|UNIPROT_deepARG|chloramphenicol|TU62_26660|antibiotic_inactivation|1	216	648
A0A124C5H3|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|vgb_2|antibiotic_inactivation|0	307	921
A0A0R3AC69|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A0W0PBQ2|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
N8X8Z1|FEATURES|UNIPROT_deepARG|beta_lactam|F968_01046|antibiotic_inactivation|1	383	1149
A0A081VBZ3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A0W0IE45|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	653	1959
A0A0Q8Z403|FEATURES|UNIPROT_deepARG|beta_lactam|ampC|antibiotic_inactivation|1	380	1140
R5UFD3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
B7UFR6|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	322	966
R6MIM5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	272	816
ZP_01172195|FEATURES|ARDB_deepARG|fosfomycin|FosB|antibiotic_inactivation|0	169	507
A0A0R2UWF7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	264	792
N2A3N4|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
A0A0M2KGJ0|FEATURES|UNIPROT_deepARG|polymyxin|arnA|antibiotic_target_alteration|0	660	1980
E7MZL4|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	274	822
1815179A|FEATURES|ARDB_deepARG|macrolide-lincosamide-streptogramin|ErmO|antibiotic_target_alteration|1	260	780
ZP_04073068|FEATURES|ARDB_deepARG|beta_lactam|BcII|antibiotic_inactivation|1	264	792
A0A127SP43|FEATURES|UNIPROT_deepARG|chloramphenicol|catD|antibiotic_inactivation|1	193	579
ZP_03069403|FEATURES|ARDB_deepARG|multidrug|MdtO|antibiotic_efflux|0	683	2049
ABO43851|FEATURES|ARDB_deepARG|tetracycline|tetW|antibiotic_target_protection|1	639	1917
A0A0R1LDY8|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	278	834
V1H2E6|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	273	819
A0A023RRC8|FEATURES|UNIPROT_deepARG|beta_lactam|B224_5390|antibiotic_inactivation|1	264	792
A0A0H5LZ74|FEATURES|UNIPROT_deepARG|bacitracin|bacA|antibiotic_target_alteration|0	272	816
AAK02049.1|FEATURES|CARD_deepARG|multidrug|floR|antibiotic_efflux|1	404	1212
C2VBS1|FEATURES|UNIPROT_deepARG|chloramphenicol|bcere0020_21450|antibiotic_inactivation|1	215	645
ZP_02465588|FEATURES|ARDB_deepARG|multidrug|CeoA|antibiotic_efflux|0	409	1227
A0A0M1IZQ5|FEATURES|UNIPROT_deepARG|chloramphenicol|ND00_04320|antibiotic_inactivation|1	221	663
A0A0S6U8L4|FEATURES|UNIPROT_deepARG|multidrug|cfr|antibiotic_target_alteration|1	344	1032
S0L321|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	277	831
A0A014MBR6|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	274	822
A0A059N5C0|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
J2EEM5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
D8FQG1|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A0I9PAV3|FEATURES|UNIPROT_deepARG|beta_lactam|BN1200_410167|antibiotic_inactivation|1	286	858
A0A0V9EAY0|FEATURES|UNIPROT_deepARG|beta_lactam|APT89_02570|antibiotic_inactivation|1	292	876
A0A0X8DA31|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	261	783
M6F258|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	278	834
B7LM77|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	326	978
A0A0Q3W173|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|vgb|antibiotic_inactivation|0	295	885
YP_002366165|FEATURES|ARDB_deepARG|bacitracin|BacA|antibiotic_target_alteration|0	263	789
A0A127SSV8|FEATURES|UNIPROT_deepARG|beta_lactam|BL1_ec|antibiotic_inactivation|1	388	1164
YP_001570858|FEATURES|ARDB_deepARG|multidrug|MdtH|antibiotic_efflux|0	404	1212
C6M3G5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	306	918
A2T8L6|FEATURES|UNIPROT_deepARG|beta_lactam|OKP-B-6|antibiotic_inactivation|1	275	825
A0A0R1FMR7|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A031JUM3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	270	810
AAB03644.1|FEATURES|ARDB_deepARG|macrolide-lincosamide-streptogramin|mphA|antibiotic_inactivation|1	306	918
A0A0D8LBI5|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	338	1014
J8WN93|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	644	1932
YP_002217746|FEATURES|ARDB_deepARG|multidrug|EmrD|antibiotic_efflux|0	394	1182
AAY52010|FEATURES|ARDB_deepARG|glycopeptide|VanSA|antibiotic_target_alteration|1	388	1164
A0A147FU02|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	272	816
C5BDQ5|FEATURES|UNIPROT_deepARG|polymyxin|arnC|antibiotic_target_alteration|0	325	975
A0A060KTP3|FEATURES|UNIPROT_deepARG|beta_lactam|blaCTX-M|antibiotic_inactivation|1	291	873
C9A5P3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	277	831
A0A125QR75|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	273	819
D1PVQ6|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	276	828
YP_695835|FEATURES|ARDB_deepARG|bacitracin|BacA|antibiotic_target_alteration|0	304	912
A0A0D5WQD4|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	273	819
A0A0F6SVU1|FEATURES|UNIPROT_deepARG|bacitracin|bacA|antibiotic_target_alteration|0	272	816
A0A0B1R8P9|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	272	816
A0A0G1P0W3|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	260	780
A0A0H4JBK5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	264	792
Q2FC33|FEATURES|UNIPROT_deepARG|beta_lactam|blaZ|antibiotic_inactivation|1	157	471
A0A0D1M5R2|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	265	795
A0A0C2ZT23|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	255	765
R8CGN5|FEATURES|UNIPROT_deepARG|beta_lactam|IGA_06067|antibiotic_inactivation|1	257	771
YP_002332257|FEATURES|ARDB_deepARG|macrolide-lincosamide-streptogramin|vgaALC|antibiotic_target_protection|1	522	1566
L1QCG1|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	275	825
A0A0G1D4E5|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	256	768
A0A0U1YUQ0|FEATURES|UNIPROT_deepARG|beta_lactam|blaOXA-48-like|antibiotic_inactivation|1	248	744
ZP_03043238|FEATURES|ARDB_deepARG|multidrug|tolC|antibiotic_efflux|0	493	1479
AAM77886|FEATURES|ARDB_deepARG|glycopeptide|vanXA|antibiotic_target_alteration|1	202	606
A0A0T9SF13|FEATURES|UNIPROT_deepARG|macrolide-lincosamide-streptogramin|macB_3|antibiotic_efflux|0	649	1947
A0A0H4QM63|FEATURES|UNIPROT_deepARG|bacitracin|uppP|antibiotic_target_alteration|0	278	834
